[2026-05-08 15:54:45,348] INFO tracking_app.views logout_view: logging out user_id=3
[2026-05-08 15:54:45,702] INFO tracking_app.views logout_view: redirecting to allmaps
[2026-05-08 15:54:45,709] INFO django.server "GET /logout/ HTTP/1.1" 302 0
[2026-05-08 15:54:45,716] INFO tracking_app.views allmaps_view: request started
[2026-05-08 15:54:45,717] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 15:54:45,718] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 15:54:46,974] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 15:54:46,978] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 15:54:46,978] INFO tracking_app.views allmaps_view: stored records in session count=1113
[2026-05-08 15:54:46,979] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 15:54:46,981] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 15:54:47,002] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 15:54:47,010] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 15:54:47,010] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 15:54:47,011] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 15:54:47,097] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 15:54:47,270] INFO django.server "GET / HTTP/1.1" 200 606891
[2026-05-08 15:54:47,355] INFO django.server "GET /static/images/VitalitySeaWaysLLP.png HTTP/1.1" 200 199745
[2026-05-08 15:54:54,604] INFO tracking_app.views login_view: request method=POST
[2026-05-08 15:54:54,606] INFO tracking_app.views login_view: authenticating username=Admin
[2026-05-08 15:54:56,837] INFO tracking_app.views login_view: authentication success username=Admin
[2026-05-08 15:54:57,439] INFO django.server "POST /login/ HTTP/1.1" 200 52
[2026-05-08 15:54:57,565] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
